id,department,role,salary_sar_monthly,age,review_period,manager_rating_1_5,peer_rating_1_5,engagement_1_5,promotion_recommendation,review_summary
E0024,Network Operations,Field Technician,12500,27,2025-H2,3.8,3.9,4.0,No,"High safety compliance and reliable closures; should reduce re-visits by improving initial diagnostics."
E0025,Network Operations,Field Technician,11800,25,2025-H2,3.5,3.6,3.8,No,"Eager to learn; needs coaching on customer communication and documentation photos for site work."
E0026,Network Operations,Network Operations Manager,32000,42,2025-H2,4.4,4.1,4.0,Yes,"Balanced leadership during outage months; improved cross-team coordination; should formalize succession plan."
E0027,Network Operations,NOC Analyst,15800,29,2025-H2,3.9,3.8,3.9,No,"Solid baseline performance; needs stronger alert hygiene and fewer false escalations."
E0028,Network Operations,Network Engineer,25500,38,2025-H2,4.6,4.4,4.3,Yes,"Trusted technical owner of core routing changes; mentors juniors; excellent change risk assessment."
E0029,Network Operations,Senior NOC Analyst,21200,35,2025-H2,4.0,4.0,3.8,No,"Capable under pressure; should improve knowledge sharing and avoid single-person dependency for key tools."
E0030,Network Operations,Field Technician,13200,31,2025-H2,4.2,4.1,4.1,No,"Strong productivity and customer feedback; next step is certification for advanced fiber troubleshooting."
E0031,Sales & Retention,Retention Specialist,11000,26,2025-H2,4.0,4.1,4.2,No,"Good objection handling; should reduce discount reliance by using value-based retention scripts."
E0032,Sales & Retention,Senior Retention Specialist,14500,32,2025-H2,4.3,4.2,4.1,Yes,"Consistently exceeds save-rate targets; coaches peers and reports competitive insights from customer calls."
E0033,Sales & Retention,Account Executive - SME,18500,34,2025-H2,3.7,3.8,3.9,No,"Pipeline is healthy; needs tighter forecasting discipline and earlier engagement with solutions engineering."
E0034,Sales & Retention,Sales Operations Analyst,17000,30,2025-H2,4.4,4.2,4.3,Yes,"Improved CRM data quality and reporting; built dashboards for churn and campaign ROI used by leadership."
E0035,Sales & Retention,Branch Sales Supervisor,16000,37,2025-H2,4.1,4.0,4.0,No,"Good team stability; development need is structured coaching plans for low performers."
E0036,Sales & Retention,Retention Specialist,10500,24,2025-H2,3.3,3.5,3.6,No,"Motivated but inconsistent; needs reinforcement on compliance statements and clearer note-taking."
E0037,Sales & Retention,Account Executive - Enterprise,28000,41,2025-H2,4.2,4.0,3.9,No,"Strong relationships and renewals; should strengthen solution storytelling for new product bundles."
E0038,Sales & Retention,Senior Retention Specialist,15000,33,2025-H2,4.6,4.4,4.5,Yes,"Excellent empathy and negotiation; drives high CSAT; helped redesign retention playbook for prepaid customers."
E0039,Sales & Retention,Sales Operations Analyst,16500,28,2025-H2,3.9,4.0,4.1,No,"Good analytical execution; should improve stakeholder communication and document assumptions in reports."
E0040,Sales & Retention,Branch Sales Supervisor,16800,39,2025-H2,4.0,3.9,3.8,No,"Meets targets; needs to improve scheduling fairness and reduce turnover risk by addressing workload concerns."
E0041,HR & People,HR Generalist,15000,29,2025-H2,4.1,4.0,4.2,No,"Strong case handling and employee relations basics; next step is deeper exposure to workforce analytics."
E0042,HR & People,Talent Acquisition Specialist,16000,31,2025-H2,4.3,4.2,4.3,Yes,"Improved time-to-hire for call center roles; strengthened structured interviews and candidate experience."
E0043,HR & People,Learning & Development Specialist,17500,33,2025-H2,4.0,4.1,4.2,No,"Delivered onboarding improvements; should add measurement discipline (pre/post assessments and ROI tracking)."
E0044,HR & People,Compensation & Benefits Analyst,19000,35,2025-H2,4.5,4.2,4.1,Yes,"Accurate benchmarking and job grading support; communicates complex pay topics clearly to stakeholders."
E0045,HR & People,HR Business Partner,24000,38,2025-H2,4.2,4.0,3.9,No,"Trusted advisor to operations; opportunity is more proactive workforce planning linked to business demand."
E0046,HR & People,HR Generalist,14500,27,2025-H2,3.8,3.9,4.0,No,"Dependable and responsive; should improve policy writing clarity and reduce back-and-forth with managers."
E0047,HR & People,Talent Acquisition Specialist,15800,30,2025-H2,3.9,4.0,4.1,No,"Good sourcing; needs stronger screening consistency and better documentation of hiring decisions."
E0048,HR & People,Learning & Development Specialist,18200,36,2025-H2,4.4,4.3,4.2,Yes,"High-quality facilitation and stakeholder trust; launched coaching program for team leaders with good uptake."
E0049,Finance & Procurement,Finance Analyst,20000,32,2025-H2,4.2,4.1,4.0,No,"Accurate monthly close and variance analysis; should simplify narratives for non-finance stakeholders."
E0050,Finance & Procurement,Procurement Specialist,18500,34,2025-H2,3.7,3.8,3.9,No,"Good vendor coordination; needs stronger negotiation preparation and clearer contract risk documentation."
E0051,Finance & Procurement,Senior Finance Analyst,24000,39,2025-H2,4.6,4.4,4.2,Yes,"Excellent forecasting and scenario modeling; supports leadership decisions during network expansion planning."
E0052,Finance & Procurement,Accounts Payable Specialist,12500,28,2025-H2,3.8,3.9,4.1,No,"High accuracy and compliance; should reduce cycle time by improving exception handling with requesters."
E0053,Finance & Procurement,Procurement Manager,29000,43,2025-H2,4.1,4.0,3.8,No,"Stable performance; development need is coaching team to standardize sourcing processes and documentation."
E0054,Finance & Procurement,Finance Analyst,19500,30,2025-H2,4.0,4.0,4.1,No,"Solid analysis; should improve automation skills to reduce manual reporting effort and minimize errors."
E0055,IT & Data,Data Analyst,22000,29,2025-H2,4.4,4.2,4.3,Yes,"Built churn dashboards used weekly by operations; improves data definitions and ensures consistent metrics."
E0056,IT & Data,BI Developer,26000,35,2025-H2,4.1,4.0,4.0,No,"Delivers stable reports; should improve version control practices and documentation for handover."
E0057,IT & Data,Data Engineer,30000,37,2025-H2,4.6,4.3,4.2,Yes,"Improved pipeline reliability and reduced latency; proactive monitoring and strong collaboration with analytics."
E0058,IT & Data,IT Support Specialist,12000,26,2025-H2,3.6,3.8,4.0,No,"Friendly and responsive; needs stronger root-cause analysis to reduce repeated tickets for the same issues."
E0059,IT & Data,Information Security Analyst,31000,40,2025-H2,4.2,4.1,3.9,No,"Strong incident response discipline; should expand awareness training reach and track behavioral KPIs."
E0060,IT & Data,Product Owner - Digital Self-Service,34000,41,2025-H2,4.3,4.2,4.1,Yes,"Clear roadmap and stakeholder alignment; improved self-service adoption; next is stronger experimentation cadence."
